#	Pic index	Note
1	1463, 1469, 1466, 1478, 1482	Lizardman Peasant
2	1476	Lizardman Soldier
3	0	Young Couatl
4	1191	Regnan Bandit
5	1181	Regnan Crossbowman
6	1196	Regnan Sorcerer
7	1154,1423,1437,1441	Dark Elf Peasant
8	1378,1379,1380,1381,1382,1383,1384,1385,1386,1391,1403	Dark Elf Peasant
9	1432	Dark Elven Warrior
10	1348	Ogre Peasant
11	1366	Ogre Brawler
12	1166	Animalist
13	1169	Ratman
14	0	Bestial Animalist
15	1306	Dragon Hunter
16	1158	Acolyte of the Sun
17	1244,1230,1231,1236,1239,1229,1247,1252	Peasant
18	1222	Vampire Minion
19	1158	Dark Path Journeyman
20	1359	Troll Clubman
21	1361	Troll Peasant
22	1324	Minotaur Guard
23	1320, 1316, 1318, 1319, 1326, 1327, 1328	Minotaur Peasant
24	1039	Dragon
25	1255	Lesser Fire Elemental
26	1137	Lesser Water Elemental
27	1143	Lesser Earth Elemental
28	1138	Lesser Air Elemental
29	0	Dire Wolf Yearling
30	0	Young Basilisk
31	0	Cyclops
32	0	Serpentman
33	0	Dancing Light
34	0	Centaur
35	0	Efreeti Soldier
36	1352	Ogre Mage Apprentice
37	0	Unicorn Foal
38	0	Emerald Dragon
39	0	Mist Hawk
40	0	Wasp Worker
41	0	Wyvern 
42	0	Brass Gorgon
43	0	Fire Newt
44	0	Fire Bird
45	0	Triton 
46	0	Young Dragon Turtle
47	0	Rook
48	0	Boulder
49	0	Plane Guardian
50	0	Crystal Walker
51	0	Fear
52	0	Ether Knight
53	0	Charger
54	0	Smoke Gog
55	0	Skeletal Dragon
56	1160,811	Human Peasant
57	0	Naga 
58	0	Skeleton Bowman
59	0	Dark Dwarf Grunt
60	0	Fish
61	0	Pirate
62	0	Regnan Crossbowman
63	0	Pirate Seer
64	0	Hatchling
65	0	Soldier of Fortune
66	0	Chaos Guardian
67	0	Angel
68	0	Archer
69	0	Giant Bat
70	0	Young Behemoth
71	0	Floating Eye
72	0	Acolyte of the Moon
73	0	Acolyte of the Sun
74	0	Devil Worker
75	0	Green Dragon
76	0	Dragonfly
77	0	Dwarven Soldier
78	0	Tempest
79	0	Clay Elemental
80	0	Warden of Fire
81	0	Lesser Light Elemental
82	0	Sprite
83	0	Elven Archer
84	0	Elven Warrior
85	0	Conscript
86	0	Robber
87	0	Initiate of the Sword
88	0	Stone Gargoyle
89	0	Djinni
90	0	Shade
91	0	Goblin
92	0	Gogling
93	0	Bronze Golem
94	0	Griffin
95	0	Harpy
96	0	Fire Hydra
97	0	Lich
98	0	Sorcerer
99	0	Minicore
100	0	Medusa
101	0	Minotaur
102	0	Monk
103	0	Necromancer
104	0	Emerald Ooze
105	708,709,710,711,712,713,714,715,716,717,719,720,721,722,723,724,725,726,727	Peasant
