Item#	message text	Location	Item Name
1560	_(TRANS)_	Noxious Potion 759	Noxious Potion Recipe
1561	_(TRANS)_	Shocking Potion 760	Shocking Potion Recipe
1562	_(TRANS)_	Swift Potion 761	Swift Potion Recipe
1563	_(TRANS)_	Cure Paralysis 762	Cure Paralysis Recipe
1564	_(TRANS)_	Divine Restoration 763	Divine Restoration Recipe
1565	_(TRANS)_	Divine Cure 764	Divine Cure Recipe
1566	_(TRANS)_	Divine Power 765	Divine Power Recipe
1567	_(TRANS)_	Luck Boost 766	Luck Boost Recipe
1568	_(TRANS)_	Fire Resistance 767	Fire Resistance Recipe
1569	_(TRANS)_	Air Resistance 768	Air Resistance Recipe
1570	_(TRANS)_	Water Resistance 769	Water Resistance Recipe
1571	_(TRANS)_	Earth Resistance 770	Earth Resistance Recipe
1572	_(TRANS)_	Mind Resistance 771	Mind Resistance Recipe
1573	_(TRANS)_	Body Resistance 772	Body Resistance Recipe
1574		 773	Empty Message Scroll
1575		 774	Empty Message Scroll
1576		 775	Empty Message Scroll
1577		 776	Empty Message Scroll
1578		 777	Empty Message Scroll
1579		 778	Empty Message Scroll
1580		 779	Empty Message Scroll
1581			Empty Message Scroll
1582			Empty Message Scroll
1583			_quest/misc781
2120	_(TRANS)_	D1	Name of Message
2121	_(TRANS)_	T6	Name of Message
2122	_(TRANS)_	T7	Letter from Zenofex
2123	_(TRANS)_	D7	Enemies List
2124	_(TRANS)_	D6	Orders from the Shadow Gu
2125	_(TRANS)_	1	The Letter
2126	_(TRANS)_	Mini-dungeon	Devil Plans
2127	_(TRANS)_	T4	Missive from the Archbish
2128	_(TRANS)_	D16	Discharge Papers
2129	_(TRANS)_	T6	Letter from Zenofex
2130	_(TRANS)_	D13	Letter from Cedric Druthe
2131	_(TRANS)_	D13	Scrap of Paper
2132	_(TRANS)_	D5	Letter to Snergle
2133	_(TRANS)_	D3	Letter from the Prince of
2134	Message Scroll Text. 514		Name of Message
2135	_(TRANS)_	D12	Elegant Letter
2136	_(TRANS)_	D8	Letter to the Prince of T
2137	Message Scroll Text. 517		Name of Message
2138	_(TRANS)_	D20	Diary Page
2139	_(TRANS)_	D19	Page from Agar's Journal
2140	_(TRANS)_	D15	Remains of a Journal
2141	_(TRANS)_	D15	Letter from the Dragon Ri
2142	_(TRANS)_	T2	Letter from the Temple of
2143	_(TRANS)_	D2	Magical Ritual Notes
2144	Message Scroll Text. 524		Name of Message
2145	_(TRANS)_	D9	Orders from Snergle
2146	Message Scroll Text. 526		Name of Message
2147	_(TRANS)_	D11	Page from Corlagon's Diar
2148	_(TRANS)_	D18	Letter to Marcus
2149	_(TRANS)_	D18	Scrap from Gharik's Journ
2150	_(TRANS)_	T5	Remnants of a Letter
2151	_(TRANS)_	CD2	Letter to Terrax
2152	_(TRANS)_	CD2	Loose Page
2153	_(TRANS)_	D4	Journal Fragment
2154	_(TRANS)_	CD3	Letter to Agar
2155	_(TRANS)_	CD1	Letter to Gharik
2156	_(TRANS)_	D8 Spiral	Spiral Instructions
2157	_(TRANS)_	Pyramid	Captain's Code
2158	_(TRANS)_	Pyramid	First Mate's Code
2159	_(TRANS)_	Pyramid	Navigator's Code
2160	_(TRANS)_	Pyramid	Communication Officer's C
2161	_(TRANS)_	Pyramid	Engineer's Code
2162	_(TRANS)_	Pyramid	Doctor's Code
2163	_(TRANS)_	D1	Goblinwatch Code
2164	_(TRANS)_	D1	Ritual of the Void
2165	_(TRANS)_	D1	Roland's Journal
2166	_(TRANS)_	D1	Proclamation
2167		D1	Name of Message
2168		D1	Name of Message
2169		D1	Name of Message
2170			Memory Crystal Alpha
2171			Memory Crystal Beta
2172			Memory Crystal Delta
2173			Memory Crystal Epsilon
2174			Pouch of Bat Guano
2175			Bathhouse Key
2176			Store Room Key
2177			Treasure Room Key
2178			Secret Door Key
2179			Chest Key
2180			Guild Key
2181			Bathhouse Key
2182			Store Room Key
2183		 564	Treasure Room Key
2184		 565	Warlord's Key
2185		 566	Storage Key
2186		 567	Cell Key
2187		 568	High Cleric's Key
2188		 569	Treasure Room Key
2189		 570	Teleporter Key
2190		 571	Hive Sanctum Key
2191		 572	Storage Key
2192		 573	Cell Key
2193		 574	Water Temple Key
2194		 575	Flame Door Key
2195		 576	Back Door Key
2196		 577	Bibliotheca Chest Key
2197		 578	VARN Chest Key
2198		 579	Sewer Key
2199			Fire Amulet
2200			Dark Containment
		
