Id	Type	SFTGroup
1020	0	null
1040	0	null
2000	0	null
2020	0	null
2040	0	null
2050	0	null
2070	0	null
2090	0	null
3000	0	null
3020	0	null
3040	0	null
4020	0	null
4040	0	null
4060	0	null
5010	0	null
5020	0	null
5030	0	null
5040	0	null
5060	0	null
5080	0	null
5090	0	null
5100	0	null
6000	0	null
6010	0	null
6030	0	null
6040	0	null
6080	0	null
6100	0	null
7000	0	null
7010	0	null
7020	0	null
7040	0	null
7050	0	null
7060	0	null
7070	0	null
7080	0	null
7100	0	null
8050	0	null
8060	0	null
8070	0	null
8100	0	null
9000	0	null
9100	0	null
900	0	null
901	0	null
902	0	null
903	0	null
904	0	null
905	0	null
906	0	null
907	0	null
908	0	null
909	0	null
10000	0	null
10001	0	null
10002	0	null
10003	0	null
10004	0	null
10005	0	null
10006	0	null
10007	0	null
10008	0	null
10012	0	null
10009	0	null
10010	0	null
10011	0	null
10013	0	null
10014	0	null
10015	0	null
10	0	null
20	0	null
22	0	null
24	0	null
11000	0	null
11010	0	null
11020	0	null
11030	0	null
11040	0	null
11050	0	null
11060	0	null
11070	0	null
11080	0	null
11090	0	null
11100	0	null
11110	0	null
11120	0	null
11130	0	null
11140	0	null
11150	0	null
11160	0	null
11170	0	null
11180	0	null
11190	0	null
11200	0	null
11210	0	null
11220	0	null
