#	Profession name	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text	Sunday topic	Sunday text
1	Smith	381	381	458	458	535	535	612	612	689	689	766	766	843	843
2	Armorer	382	382	459	459	536	536	613	613	690	690	767	767	844	844
3	Alchemist	383	383	460	460	537	537	614	614	691	691	768	768	845	845
4	Scholar	384	384	461	461	538	538	615	615	692	692	769	769	846	846
5	Guide	385	385	462	462	539	539	616	616	693	693	770	770	847	847
6	Tracker	386	386	463	463	540	540	617	617	694	694	771	771	848	848
7	Pathfinder	387	387	464	464	541	541	618	618	695	695	772	772	849	849
8	Sailor	388	388	465	465	542	542	619	619	696	696	773	773	850	850
9	Navigator	389	389	466	466	543	543	620	620	697	697	774	774	851	851
10	Healer	390	390	467	467	544	544	621	621	698	698	775	775	852	852
11	Expert Healer	391	391	468	468	545	545	622	622	699	699	776	776	853	853
12	Master Healer	392	392	469	469	546	546	623	623	700	700	777	777	854	854
13	Teacher	393	393	470	470	547	547	624	624	701	701	778	778	855	855
14	Instructor	394	394	471	471	548	548	625	625	702	702	779	779	856	856
15	Arms Master	395	395	472	472	549	549	626	626	703	703	780	780	857	857
16	Weapons Master	396	396	473	473	550	550	627	627	704	704	781	781	858	858
17	Apprentice	397	397	474	474	551	551	628	628	705	705	782	782	859	859
18	Mystic	398	398	475	475	552	552	629	629	706	706	783	783	860	860
19	Spell Master	399	399	476	476	553	553	630	630	707	707	784	784	861	861
20	Trader	400	400	477	477	554	554	631	631	708	708	785	785	862	862
21	Merchant	401	401	478	478	555	555	632	632	709	709	786	786	863	863
22	Scout	402	402	479	479	556	556	633	633	710	710	787	787	864	864
23	Counselor	403	403	480	480	557	557	634	634	711	711	788	788	865	865
24	Barrister	404	404	481	481	558	558	635	635	712	712	789	789	866	866
25	Tinker	405	405	482	482	559	559	636	636	713	713	790	790	867	867
26	Locksmith	406	406	483	483	560	560	637	637	714	714	791	791	868	868
27	Fool	407	407	484	484	561	561	638	638	715	715	792	792	869	869
28	Chimney Sweep	408	408	485	485	562	562	639	639	716	716	793	793	870	870
29	Porter	409	409	486	486	563	563	640	640	717	717	794	794	871	871
30	Quarter Master	410	410	487	487	564	564	641	641	718	718	795	795	872	872
31	Factor	411	411	488	488	565	565	642	642	719	719	796	796	873	873
32	Banker	412	412	489	489	566	566	643	643	720	720	797	797	874	874
33	Cook	413	413	490	490	567	567	644	644	721	721	798	798	875	875
34	Chef	414	414	491	491	568	568	645	645	722	722	799	799	876	876
35	Horseman	415	415	492	492	569	569	646	646	723	723	800	800	877	877
36	Bard	416	416	493	493	570	570	647	647	724	724	801	801	878	878
37	Enchanter	417	417	494	494	571	571	648	648	725	725	802	802	879	879
38	Cartographer	418	418	495	495	572	572	649	649	726	726	803	803	880	880
39	Wind Master	419	419	496	496	573	573	650	650	727	727	804	804	881	881
40	Water Master	420	420	497	497	574	574	651	651	728	728	805	805	882	882
41	Gate Master	421	421	498	498	575	575	652	652	729	729	806	806	883	883
42	Acolyte	422	422	499	499	576	576	653	653	730	730	807	807	884	884
43	Piper	423	423	500	500	577	577	654	654	731	731	808	808	885	885
44	Explorer	424	424	501	501	578	578	655	655	732	732	809	809	886	886
45	Pirate	425	425	502	502	579	579	656	656	733	733	810	810	887	887
46	Squire	426	426	503	503	580	580	657	657	734	734	811	811	888	888
47	Psychic	427	427	504	504	581	581	658	658	735	735	812	812	889	889
48	Gypsy	428	428	505	505	582	582	659	659	736	736	813	813	890	890
49	Negotiator	429	429	506	506	583	583	660	660	737	737	814	814	891	891
50	Duper	430	430	507	507	584	584	661	661	738	738	815	815	892	892
51	Burglar	431	431	508	508	585	585	662	662	739	739	816	816	893	893
52	Peasant	432	432	509	509	586	586	663	663	740	740	817	817	894	894
53	Serf	433	433	510	510	587	587	664	664	741	741	818	818	895	895
54	Tailor	434	434	511	511	588	588	665	665	742	742	819	819	896	896
55	Laborer	435	435	512	512	589	589	666	666	743	743	820	820	897	897
56	Farmer	436	436	513	513	590	590	667	667	744	744	821	821	898	898
57	Cooper	437	437	514	514	591	591	668	668	745	745	822	822	899	899
58	Potter	438	438	515	515	592	592	669	669	746	746	823	823	900	900
59	Weaver	439	439	516	516	593	593	670	670	747	747	824	824	901	901
60	Cobbler	440	440	517	517	594	594	671	671	748	748	825	825	902	902
61	Ditch Digger	441	441	518	518	595	595	672	672	749	749	826	826	903	903
62	Miller	442	442	519	519	596	596	673	673	750	750	827	827	904	904
63	Carpenter	443	443	520	520	597	597	674	674	751	751	828	828	905	905
64	Stonecutter	444	444	521	521	598	598	675	675	752	752	829	829	906	906
65	Jester	445	445	522	522	599	599	676	676	753	753	830	830	907	907
66	Trapper	446	446	523	523	600	600	677	677	754	754	831	831	908	908
67	Beggar	447	447	524	524	601	601	678	678	755	755	832	832	909	909
68	Rustler	448	448	525	525	602	602	679	679	756	756	833	833	910	910
69	Hunter	449	449	526	526	603	603	680	680	757	757	834	834	911	911
70	Scribe	450	450	527	527	604	604	681	681	758	758	835	835	912	912
71	Missionary	451	451	528	528	605	605	682	682	759	759	836	836	913	913
72	Clerk	452	452	529	529	606	606	683	683	760	760	837	837	914	914
73	Guard	453	453	530	530	607	607	684	684	761	761	838	838	915	915
74	Gambler	454	454	531	531	608	608	685	685	762	762	839	839	916	916
75	Noble	455	455	532	532	609	609	686	686	763	763	840	840	917	917
76	Follower of Baa	456	456	533	533	610	610	687	687	764	764	841	841	918	918
77	Child	457	457	534	534	611	611	688	688	765	765	842	842	919	919
