Area	Topic Name	Text
151	102	102
151	103	103
151	104	104
151	105	105
151	106	106
151	107	107
151	108	108
151	109	109
151	110	110
151	111	111
151	112	112
151	113	113
151	114	114
151	115	115
151	116	116
151	117	117
151	118	118
151	119	119
151	120	120
151	121	121
151	122	122
151	123	123
151	124	124
151	125	125
151	126	126
151	127	127
151	128	128
151	129	129
151	130	130
151	131	131
150	132	132
150	133	133
150	134	134
150	135	135
150	136	136
150	137	137
150	138	138
150	139	139
150	140	140
150	141	141
150	142	142
150	143	143
150	144	144
150	145	145
150	146	146
150	147	147
150	148	148
150	149	149
150	150	150
150	151	151
150	152	152
150	153	153
150	154	154
150	155	155
150	156	156
150	157	157
150	158	158
150	159	159
150	160	160
149	161	161
149	162	162
149	163	163
149	164	164
149	165	165
148	166	166
148	167	167
148	168	168
148	169	169
148	170	170
148	171	171
148	172	172
148	173	173
148	174	174
148	175	175
148	176	176
148	177	177
148	178	178
148	179	179
148	180	180
148	181	181
148	182	182
148	183	183
148	184	184
148	185	185
148	186	186
148	187	187
148	188	188
148	189	189
148	190	190
148	191	191
148	192	192
148	193	193
148	194	194
148	195	195
148	196	196
148	197	197
148	198	198
148	199	199
147	200	200
147	201	201
147	202	202
147	203	203
147	204	204
147	205	205
147	206	206
147	207	207
147	208	208
147	209	209
147	210	210
146	211	211
146	212	212
146	213	213
146	214	214
146	215	215
146	216	216
146	217	217
146	218	218
146	219	219
146	220	220
146	221	221
146	222	222
146	223	223
146	224	224
146	225	225
146	226	226
146	227	227
146	228	228
146	229	229
146	230	230
146	231	231
146	232	232
146	233	233
146	234	234
146	235	235
145	236	236
145	237	237
145	238	238
145	239	239
145	240	240
145	241	241
145	242	242
145	243	243
145	244	244
145	245	245
145	246	246
145	247	247
145	248	248
144	249	249
144	250	250
144	251	251
144	252	252
144	253	253
144	254	254
144	255	255
144	256	256
144	257	257
144	258	258
144	259	259
144	260	260
144	261	261
144	262	262
144	263	263
144	264	264
144	265	265
144	266	266
144	267	267
144	268	268
144	269	269
144	270	270
144	271	271
144	272	272
144	273	273
144	274	274
144	275	275
144	276	276
144	277	277
144	278	278
144	279	279
144	280	280
144	281	281
144	282	282
144	283	283
144	284	284
144	285	285
144	286	286
144	287	287
144	288	288
144	289	289
144	290	290
143	291	291
143	292	292
143	293	293
143	294	294
143	295	295
143	296	296
143	297	297
143	298	298
143	299	299
143	300	300
143	301	301
143	302	302
143	303	303
143	304	304
143	305	305
143	306	306
143	307	307
143	308	308
143	309	309
143	310	310
143	311	311
143	312	312
143	313	313
142	314	314
142	315	315
142	316	316
142	317	317
142	318	318
141	319	319
141	320	320
141	321	321
141	322	322
141	323	323
141	324	324
141	325	325
141	326	326
141	327	327
141	328	328
141	329	329
141	330	330
141	331	331
141	332	332
141	333	333
141	334	334
140	335	335
140	336	336
140	337	337
140	338	338
140	339	339
140	340	340
140	341	341
140	342	342
140	343	343
140	344	344
140	345	345
139	346	346
139	347	347
139	348	348
139	349	349
139	350	350
138	351	351
138	352	352
138	353	353
138	354	354
138	355	355
137	356	356
137	357	357
137	358	358
137	359	359
137	360	360
62	NPCTopic 788	NPCText 987
62	NPCTopic 790	NPCText 989
62	NPCTopic 758	NPCText 1627
62	NPCTopic 758	NPCText 1628
